Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
EA31	-Verify Date-Date no must not be blank,N5-49,10268,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 5:03 PM,16/Mar/23 8:25 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

31 :Verify Date-Date no must not be blank

Họ tên: ThanhBang

[Email:ltbang29092003@gmail.com|mailto:Email:ltbang29092003@gmail.com]

Số điện thoại: 084934324

Địa chỉ

Ngày sinh:",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 5:03 PM;62a0c1144e1a640070c4143b;i9.png;https://tranthaodien.atlassian.net/secure/attachment/10143/i9.png,Đúng như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Thông báo lỗi:""Mời nhập ngày sinh.""",,,,,0|i001hz:,,N5 Sprint 1,,,,,,,,Unit,"1,Bỏ trường ngày sinh
2,Bấm cập nhật",Pass,,,To Do
EA26-Verify Email-Email ID is not valid,N5-48,10267,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 5:01 PM,15/Mar/23 9:25 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"

Email:ltbang2",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 5:00 PM;62a0c1144e1a640070c4143b;i6.png;https://tranthaodien.atlassian.net/secure/attachment/10142/i6.png,Đúng như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Thông báo lỗi""Địa chỉ Email không hợp lệ.""",,,,,0|i001hr:,,N5 Sprint 1,,,,,,,,Unit,"1,Nhập trường email
2,Bấm cập nhật",Pass,,,To Do
EA28-Verify Telephone Number-Mobile no must not be blank,N5-47,10266,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:57 PM,16/Mar/23 8:25 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

28:Verify Telephone Number-Mobile no must not be blank

Họ tên :ThanhBang

[Email:ltbang29092003@gmail.com|mailto:Email:ltbang29092003@gmail.com]

Số điện thoại

Địa chỉ

Ngày sinh:29/09/2003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:57 PM;62a0c1144e1a640070c4143b;i5.png;https://tranthaodien.atlassian.net/secure/attachment/10141/i5.png,Đúng như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Thông báo lỗi""Số điện thoại không hợp lệ.""",,,,,0|i001hj:,,N5 Sprint 1,,,,,,,,Unit,"1Bỏ trường số điện thoại
2,Bấm cập nhật",Pass,,,To Do
EA22-Verify FullName-FullName is required,N5-46,10265,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:55 PM,15/Mar/23 9:10 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

22-Verify FullName-FullName is required

Họ tên

Email:[ltbang29092003@gmail.com|mailto:ltbang29092003@gmail.com]

Số điện thoại_:0344.270.054_

Địa chỉ

Ngày sinh:_29/09/2003_",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:54 PM;62a0c1144e1a640070c4143b;i3.png;https://tranthaodien.atlassian.net/secure/attachment/10140/i3.png,Giống như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Thông báo""trường họ tên không được để trống""",,,,,0|i001hb:,,N5 Sprint 1,,,,,,,,Unit,"1,Bỏ trường họ tên
2,Bấm cập nhật",Pass,,,To Do
EA25-Verify Email-Email ID must not be blank,N5-45,10264,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:52 PM,15/Mar/23 9:21 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

25-Verify Email-Email ID must not be blank

Họ tên_:Thanh Bằng_

Email_*_

Số điện thoại_:0344.020.206_

Địa chỉ

Ngày sinh_:29/09/2003_",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:52 PM;62a0c1144e1a640070c4143b;i2.png;https://tranthaodien.atlassian.net/secure/attachment/10139/i2.png,Đúng như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Thông báo:""Mời nhập địa chỉ Email.""",,,,,0|i001h3:,,N5 Sprint 1,,,,,,,,Unit,"1,Bỏ trường email
2,Bấm cập nhật",Pass,,,To Do
EA28-Verify Telephone Number-Mobile no must not be blank,N5-44,10263,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:49 PM,16/Mar/23 8:24 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

28:Verify Telephone Number-Mobile no must not be blank

Họ tên_:Thanh Bằng_

Email_:bang123@gmail.com_

Số điện thoại_:_ 

Địa chỉ

Ngày sinh: 29/09/2003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:49 PM;62a0c1144e1a640070c4143b;i1.png;https://tranthaodien.atlassian.net/secure/attachment/10138/i1.png,Đúng như mong đợi,,,,,,,,,,N5-40,EditAccount,,,Không được bỏ trống trường số điện thoại,,,,,0|i001gv:,,N5 Sprint 1,,,,,,,,Unit,"1,Bỏ trường số điện thoại
2,Bấm cập nhật",Pass,,,To Do
CP37-Verify Confirm Password - Confirm Password must not be blank,N5-43,10262,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:45 PM,15/Mar/23 9:05 PM,19/Mar/23 7:34 PM,,,0,ChangePassword,"CP: ChangePassword

37:Verify Confirm Password - Confirm Password must not be blank

Mật khẩu cũ: 29092003

Mật khẩu mới: 123456

Xác nhận mật khẩu: ",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,Đúng như mong đợi,,,,,,,,,,N5-36,ChangePassword,,,"Hiển thị thông báo lỗi""Nhập trường confirm pass""",,,,,0|i001gn:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ trống trường confirm pass
2)Nhấn cập nhật",Pass,,,To Do
CP36-Verify New Password-New Password must not be blank,N5-42,10261,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:42 PM,15/Mar/23 9:03 PM,19/Mar/23 7:34 PM,,,0,ChangePassword,"Mật khẩu cũ: 1122345

Mật khẩu mới: 

Xác nhận mật khẩu: 1122345",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:40 PM;62a0c1144e1a640070c4143b;C1.png;https://tranthaodien.atlassian.net/secure/attachment/10136/C1.png,Đúng như mong đợi,,,,,,,,,,N5-36,ChangePassword,,,Cập nhật thất bại,,,,,0|i001gf:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ trống trường mật khẩu mới
2)Bấm cập nhật",Pass,,,To Do
EA32-Verify Address-Address no must not be blank,N5-41,10260,Bug,Open,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:38 PM,16/Mar/23 8:29 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Account

32: Verify Address-Address no must not be blank",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:37 PM;62a0c1144e1a640070c4143b;l1.png;https://tranthaodien.atlassian.net/secure/attachment/10135/l1.png,Không như mong đợi,,,,,,,,,,N5-40,EditAccount,,,Trường địa chỉ không được để trống,,,,,0|i001g7:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ trống trường địa chỉ
2)Bấm cập nhật",Fail,,,To Do
EditAccount,N5-40,10259,Epic,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Trần Thảo Điền,629810d99582b8006fc58c21,Trần Thảo Điền,629810d99582b8006fc58c21,05/Jan/23 4:34 PM,15/Mar/23 9:47 PM,05/Jan/23 4:45 PM,,,0,,,,Trần Thảo Điền,629810d99582b8006fc58c21,,,,,,,,,,,,,,,,,,,ghx-label-7,,,EditAccount,To Do,,,purple,,,0|i001fz:,,,,,,,,,,,,,,,To Do
S-Kiểm tra chức năng thay đổi mật khẩu- Đăng nhập bằng mật khẩu vừa thay đổi,N5-39,10258,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:33 PM,05/Jan/23 4:33 PM,05/Jan/23 4:46 PM,,,0,ChangePassword,"Email: ltb29092003@gmail.com

Mật khẩu:   29092003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,Đăng nhập bằng mật khẩu mới thành công,,,,,,,,,,N5-36,ChangePassword,,,Đăng nhập bằng mật khẩu mới thành công,,,,,0|i001fr:,,BAN Sprint 3,,,,,,,,System,1)Nhập tất cả các trường,Pass,,,To Do
S-Kiểm tra chức năng thay đổi mật khẩu-Cập nhật mật khẩu mới thành công,N5-38,10257,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:30 PM,05/Jan/23 4:30 PM,19/Mar/23 7:34 PM,,,0,ChangePassword,"Mật khẩu cũ_:29092003_

Mật khẩu mới_:123456_

Xác nhận mật khẩu:123456",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:30 PM;62a0c1144e1a640070c4143b;r4.png;https://tranthaodien.atlassian.net/secure/attachment/10134/r4.png,Cập nhật thành công ,,,,,,,,,,N5-36,ChangePassword,,,Cập nhật thành công ,,,,,0|i001fj:,,BAN Sprint 3,,,,,,,,System,1)Nhập tất cả các trường,Pass,,,To Do
S-Kiểm tra chức năng thay đổi mật khẩu-Nếu mật khẩu cũ sai thì thông báo lỗi,N5-37,10256,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:25 PM,05/Jan/23 4:26 PM,19/Mar/23 7:34 PM,,,0,ChangePassword,"Mật khẩu cũ_: 222222_

Mật khẩu mới_29092003_

Xác nhận mật khẩu_:29092003_",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:25 PM;62a0c1144e1a640070c4143b;s2.png;https://tranthaodien.atlassian.net/secure/attachment/10133/s2.png,"Hiển thị lõi""Nhập lại mật khẩu không khớp""",,,,,,,,,,N5-36,ChangePassword,,,"Hiển thị lõi""Nhập lại mật khẩu không khớp""",,,,,0|i001fb:,,BAN Sprint 3,,,,,,,,System,1)Nhập tất cả các trường ,Pass,,,To Do
ChangePassword,N5-36,10255,Epic,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Trần Thảo Điền,629810d99582b8006fc58c21,Trần Thảo Điền,629810d99582b8006fc58c21,05/Jan/23 4:24 PM,15/Mar/23 7:52 PM,05/Jan/23 4:50 PM,,,0,,,,Trần Thảo Điền,629810d99582b8006fc58c21,,,,,,,,,,,,,,,,,,,ghx-label-7,,,ChangePassword,To Do,,,purple,,,0|i001f3:,,,,,,,,,,,,,,,To Do
S-Kiểm tra chức năng đăng ký- Khi đăng ký thành công thông tin khách hàng sẽ được lưu trữ,N5-35,10254,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:21 PM,16/Mar/23 8:43 PM,19/Mar/23 7:34 PM,,,0,RegisterFrom,"Họ và tên: Thanh Bằng
Email: [abc@gamil.com|mailto:abc@gamil.com]
Điện thoại: 03440.202.067
Tên tài khoản:ThanhBang
Mật khẩu: 29092003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 4:20 PM;62a0c1144e1a640070c4143b;s1.png;https://tranthaodien.atlassian.net/secure/attachment/10132/s1.png,Đúng như mong đợi,,,,,,,,,,N5-2,REGISTER,,,thông tin được lưu trữ,,,,,0|i001ev:,,BAN Sprint 3,,,,,,,,System,"1,Nhập tất cả các trường
2,Nhấn đăng ký",Pass,,,To Do
LF18-Verify Email-First character cannot have space,N5-27,10252,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 4:02 PM,15/Mar/23 8:41 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"20-Kiểm tra trường email-Ký tự đầu tiên không được là khoảng trắng
L: Login



Email:      thanhbang@gamil.com

Mật khẩu:   12344",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hệ thống sẽ hiển thị lỗi: ""Email không đúng định dạng""",,,,,,,,,,N5-1,LOGIN,,,"Hệ thống sẽ hiển thị lỗi: ""Email không đúng định dạng""",,,,,0|i001ef:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập khoảng trắng trước trường Email
2)Nhấn đăng nhập",Pass,,,To Do
LF16-Verify Email-Email ID must not be blank,N5-20,10251,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 3:59 PM,15/Mar/23 8:38 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

16:Verify Email-Email ID must not be blank

Email^:^

Mật khẩu^:^   123456",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,05/Jan/23 3:59 PM;62a0c1144e1a640070c4143b;R18.png;https://tranthaodien.atlassian.net/secure/attachment/10131/R18.png,"Hệ thống sẽ hiển thị lỗi: ""Mời nhập địa chỉ Email.""",,,,,,,,,,N5-1,LOGIN,,,"Hệ thống sẽ hiển thị lỗi: ""Mời nhập địa chỉ Email.""",,,,,0|i001e7:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ qua trường eamil
2)Nhấn đăng ký",Pass,,,To Do
